Name,Tags,net,Test Accuracy,Test Loss,learning_rate,Epoch,PADDING,Train Accuracy,Train Loss,batch_size,criterion,epochs,in_channels,kernel_size,nconvolutions,optimizer,out_channels,stride,transformer
Net: Cxr8Net Transf: Cxr8 Epochs: 15,"Batchnorm, Dropout",,62.73,0.040186366,0.000411782,14,,67.84,0.037486655,,,,,,,,,,
Net: ComplexCNN Transf: Cxr8 Epochs: 15,"Adam, Reg",ComplexCNN,65.27,0.039147034,0.002,14,"[0,0,0]",71.3,0.035258868,16,Cross Entropy,15,"[1,6,10]","[12,6,4]",3,Adam,"[6,10,5]","[3,2,1]",Cxr8
Net: Cxr8Net Transf: Cxr8 Epochs: 15,"Adam, Reg",Cxr8Net,64.82,0.05464585,0.002,14,0,82.3,0.02426363,16,Cross Entropy,15,1,5,1,Adam,3,1,Cxr8
Net: ComplexCNN Transf: Cxr8 Epochs: 15,"Adam, No Reg",ComplexCNN,62.02,0.045157055,0.002,14,"[0,0,0]",72.64,0.034284856,16,Cross Entropy,15,"[1,6,10]","[12,6,4]",3,Adam,"[6,10,5]","[3,2,1]",Cxr8
Net: Cxr8Net Transf: Cxr8 Epochs: 15,"Adam, No Reg",Cxr8Net,64.82,0.049833369,0.002,14,0,76.36,0.030009966,16,Cross Entropy,15,1,5,1,Adam,3,1,Cxr8
Net: LeNet5 Transf: Cxr8 Epochs: 15,"Adam, Reg",LeNet5,58.81,0.243396611,0.002,14,"[0,0]",96.7,0.003551466,16,Cross Entropy,15,"[1,6]","[5,5]",2,Adam,"[6,16]","[1,1]",Cxr8
Net: LeNet5NoRegNoBN Transf: Cxr8 Epochs: 15,"Adam, No Reg",LeNet5NoRegNoBN,61.25,0.08427329,0.002,14,"[0,0]",90.96,0.013077617,16,Cross Entropy,15,"[1,6]","[5,5]",2,Adam,"[6,16]","[1,1]",Cxr8
Net: LeNet5 Transf: Cxr8 Epochs: 15,"Batchnorm, Dropout",LeNet5,59.73,0.229510328,0.002,14,"[0,0]",98.75,0.002196577,16,Cross Entropy,15,"[1,6]","[5,5]",2,Adam,"[6,16]","[1,1]",Cxr8
Net: LeNet5 Transf: Cxr8 Epochs: 15,"Batchnorm, Dropout",LeNet5,58.2,0.209190335,0.002,14,"[0,0]",99.45,0.001296699,16,Cross Entropy,15,"[1,6]","[5,5]",2,Adam,"[6,16]","[1,1]",Cxr8
Net: LeNet5 Transf: Cxr8 Epochs: 15,"Batchnorm, Dropout",LeNet5,62.68,0.048227602,0.002,14,"[0,0]",78.98,0.029303955,16,Cross Entropy,15,"[1,6]","[5,5]",2,Adam,"[6,16]","[1,1]",Cxr8
Net: LeNet5NoRegNoBN Transf: Cxr8 Epochs: 15,"L2 Norm, No Reg",LeNet5NoRegNoBN,63.34,0.165767523,0.002,14,"[0,0]",99.97,0.000292162,16,Cross Entropy,15,"[1,6]","[5,5]",2,Adam,"[6,16]","[1,1]",Cxr8
Net: LeNet5NoRegNoBN Transf: Cxr8 Epochs: 15,"L2 Norm, No Reg",LeNet5NoRegNoBN,61.97,0.208039963,0.002,14,"[0,0]",99.98,0.000100298,16,Cross Entropy,15,"[1,6]","[5,5]",2,Adam,"[6,16]","[1,1]",Cxr8
Net: LeNet5NoRegNoBN Transf: Cxr8 Epochs: 15,"L2 Norm, No Reg",LeNet5NoRegNoBN,60.85,0.129891879,0.002,14,"[0,0]",98.03,0.00368946,16,Cross Entropy,15,"[1,6]","[5,5]",2,Adam,"[6,16]","[1,1]",Cxr8
Net: LeNet5NoRegNoBN Transf: Cxr8 Epochs: 15,"Learning Rate, No Reg",LeNet5NoRegNoBN,61.41,0.041241143,0.001452499,14,"[0,0]",65.28,0.03901251,16,Cross Entropy,15,"[1,6]","[5,5]",2,SGD,"[6,16]","[1,1]",Cxr8
